# art of sim rally - steering force curve conformance vector
# generated by tools/force-vector from src/ArtOfSimRally.Mod/ForceCurve.cs
# mod 0.2.2 defaults: FyReference=11500 gain=1 (Strength 50) invert=false ideal_deg=8.5
# fade 3->12 km/h (Unity SmoothStep, cubic), trail 1.0 -> 0.6 at twice ideal slip
# 'normalised' is pre-smoothing, -1..1. 'device' is (int)(normalised * 10000),
# the DirectInput constant-force magnitude actually sent.
fy_total_n,abs_slip_deg,ideal_deg,speed_kmh,trail,normalised,device
0,0,8.5,0,1,0,0
0,0,8.5,3,1,0,0
0,0,8.5,5,1,0,0
0,0,8.5,7.5,1,0,0
0,0,8.5,12,1,0,0
0,0,8.5,40,1,0,0
0,0,8.5,90,1,0,0
0,0,8.5,130,1,0,0
0,4.25,8.5,0,0.9,0,0
0,4.25,8.5,3,0.9,0,0
0,4.25,8.5,5,0.9,0,0
0,4.25,8.5,7.5,0.9,0,0
0,4.25,8.5,12,0.9,0,0
0,4.25,8.5,40,0.9,0,0
0,4.25,8.5,90,0.9,0,0
0,4.25,8.5,130,0.9,0,0
0,8.5,8.5,0,0.8,0,0
0,8.5,8.5,3,0.8,0,0
0,8.5,8.5,5,0.8,0,0
0,8.5,8.5,7.5,0.8,0,0
0,8.5,8.5,12,0.8,0,0
0,8.5,8.5,40,0.8,0,0
0,8.5,8.5,90,0.8,0,0
0,8.5,8.5,130,0.8,0,0
0,12,8.5,0,0.7176471,0,0
0,12,8.5,3,0.7176471,0,0
0,12,8.5,5,0.7176471,0,0
0,12,8.5,7.5,0.7176471,0,0
0,12,8.5,12,0.7176471,0,0
0,12,8.5,40,0.7176471,0,0
0,12,8.5,90,0.7176471,0,0
0,12,8.5,130,0.7176471,0,0
0,17,8.5,0,0.6,0,0
0,17,8.5,3,0.6,0,0
0,17,8.5,5,0.6,0,0
0,17,8.5,7.5,0.6,0,0
0,17,8.5,12,0.6,0,0
0,17,8.5,40,0.6,0,0
0,17,8.5,90,0.6,0,0
0,17,8.5,130,0.6,0,0
0,21.25,8.5,0,0.6,0,0
0,21.25,8.5,3,0.6,0,0
0,21.25,8.5,5,0.6,0,0
0,21.25,8.5,7.5,0.6,0,0
0,21.25,8.5,12,0.6,0,0
0,21.25,8.5,40,0.6,0,0
0,21.25,8.5,90,0.6,0,0
0,21.25,8.5,130,0.6,0,0
0,29,8.5,0,0.6,0,0
0,29,8.5,3,0.6,0,0
0,29,8.5,5,0.6,0,0
0,29,8.5,7.5,0.6,0,0
0,29,8.5,12,0.6,0,0
0,29,8.5,40,0.6,0,0
0,29,8.5,90,0.6,0,0
0,29,8.5,130,0.6,0,0
0,45,8.5,0,0.6,0,0
0,45,8.5,3,0.6,0,0
0,45,8.5,5,0.6,0,0
0,45,8.5,7.5,0.6,0,0
0,45,8.5,12,0.6,0,0
0,45,8.5,40,0.6,0,0
0,45,8.5,90,0.6,0,0
0,45,8.5,130,0.6,0,0
500,0,8.5,0,1,0,0
500,0,8.5,3,1,0,0
500,0,8.5,5,1,0.005486968,54
500,0,8.5,7.5,1,0.02173913,217
500,0,8.5,12,1,0.04347826,434
500,0,8.5,40,1,0.04347826,434
500,0,8.5,90,1,0.04347826,434
500,0,8.5,130,1,0.04347826,434
500,4.25,8.5,0,0.9,0,0
500,4.25,8.5,3,0.9,0,0
500,4.25,8.5,5,0.9,0.004938271,49
500,4.25,8.5,7.5,0.9,0.01956522,195
500,4.25,8.5,12,0.9,0.03913043,391
500,4.25,8.5,40,0.9,0.03913043,391
500,4.25,8.5,90,0.9,0.03913043,391
500,4.25,8.5,130,0.9,0.03913043,391
500,8.5,8.5,0,0.8,0,0
500,8.5,8.5,3,0.8,0,0
500,8.5,8.5,5,0.8,0.004389575,43
500,8.5,8.5,7.5,0.8,0.0173913,173
500,8.5,8.5,12,0.8,0.03478261,347
500,8.5,8.5,40,0.8,0.03478261,347
500,8.5,8.5,90,0.8,0.03478261,347
500,8.5,8.5,130,0.8,0.03478261,347
500,12,8.5,0,0.7176471,0,0
500,12,8.5,3,0.7176471,0,0
500,12,8.5,5,0.7176471,0.003937707,39
500,12,8.5,7.5,0.7176471,0.01560102,156
500,12,8.5,12,0.7176471,0.03120205,312
500,12,8.5,40,0.7176471,0.03120205,312
500,12,8.5,90,0.7176471,0.03120205,312
500,12,8.5,130,0.7176471,0.03120205,312
500,17,8.5,0,0.6,0,0
500,17,8.5,3,0.6,0,0
500,17,8.5,5,0.6,0.003292181,32
500,17,8.5,7.5,0.6,0.01304348,130
500,17,8.5,12,0.6,0.02608696,260
